als;fr;de;en;cat;gen;pluriel;petit;compar;present_1_personne;present_2_personne;present_3_personne;present_pluriel;part_passe;aux;cond_pres_1_personne;cond_pres_2_personne;cond_pres_3_personne;cond_pres_pluriel
Sààl;hall;Saal;hall;nom;m;Saal;Saalala;;;;;;;;;;;
Säiala;porcelet;Schweinchen;piglet;nom;n;Säiala;;;;;;;;;;;;
Sìcherheit;sécurité;Sicherheit;security;nom;f;Sìcherheita;;;;;;;;;;;;
Sìlwer;argent;Silber;silver;nom;n;;;;;;;;;;;;;
Sìtz;siège;Sitz;seat;nom;m;Sìtz;;;;;;;;;;;;
Süechmàschìna;moteur de recherche;Suchmaschine;search engine;nom;f;Süechmàschìna;;;;;;;;;;;;
Süpporter;supporter;Fan;supporter;nom;m;Süpporter;;;;;;;;;;;;
Sürkrütt;choucroute;Sauerkraut;sauerkraut;nom;n;Sürkrütt;;;;;;;;;;;;
Süü;sou;Sou;penny;nom;m;Süü;;;;;;;;;;;;
Süürteig;levain;Sauerteig;sourdough;nom;m;Süürteiga;;;;;;;;;;;;
Taller;assiette;Teller;plate;nom;m;Taller;Tallerla;;;;;;;;;;;
Tascha;sac;Tasche;bag;nom;f;Tascha;Taschla;;;;;;;;;;;
Tecknologie;technologie;Technologie;technology;nom;f;Technologia;;;;;;;;;;;;
Tee;thé;Tee;tea;nom;m;Tee;;;;;;;;;;;;
Teig;pâte;Teig;dough;nom;m;Teiga;;;;;;;;;;;;
Teigwàr;pâte alimentaire;Teigware;pasta;nom;f;Teigwàra;;;;;;;;;;;;
Teil;partie;Teil;part;nom;n;Teil;;;;;;;;;;;;
Telefon;téléphone;Telefon;telephone;nom;n;Telefon;;;;;;;;;;;;
Telefonnümmro;numéro de téléphone;Telefonnummer;phone number;nom;m;Telefonnümmro;;;;;;;;;;;;
Temperàtür;température;Temperatur;temperature;nom;f;Temperàtura;;;;;;;;;;;;
Tennis;tennis;Tennis;tennis;nom;n;;;;;;;;;;;;;
Teppig;tapis;Teppich;carpet;nom;m;Teppig;;;;;;;;;;;;
Text;texte;Text;text;nom;m;Text;;;;;;;;;;;;
Theàter;théâtre;Theater;theatre;nom;n;Theàter;;;;;;;;;;;;
Thymiàn;thym;Thymian;thyme;nom;m;Thymiàna;;;;;;;;;;;;
Tiar;animal;Tier;animal;nom;n;Tiarer;Tiarla;;;;;;;;;;;
Tiger;tigre;Tiger;tiger;nom;m;Tiger;Tigerla;;;;;;;;;;;
Titel;titre;Titel;title;nom;m;Titel;;;;;;;;;;;;
Tochter;fille;Tochter;daughter;nom;f;Tächtra;Tächterla;;;;;;;;;;;
Tochtermànn;gendre;Schwiegersohn;son-in-law;nom;m;Tochtermanner;;;;;;;;;;;;
Tod;mort;Tod;death;nom;m;Toda;;;;;;;;;;;;
Tomàta;tomate;Tomate;tomato;nom;f;Tomàta;;;;;;;;;;;;
Tor;portail;Tor;door;nom;n;Tor;;;;;;;;;;;;
Torf;tourbe;Torf;peat;nom;m;;;;;;;;;;;;;
Tourischt;touriste;Tourist;tourist;nom;m;Tourischta;;;;;;;;;;;;
Trachter;entonnoir;Trichter;funnel;nom;m;Trachter;Trachterla;;;;;;;;;;;
Tracteur;tracteur;Traktor;tractor;nom;m;Tracteur;;;;;;;;;;;;
Traffpunkt;point de rencontre;Treffpunkt;meeting point;nom;m;Traffpunkta;;;;;;;;;;;;
Trainer;entraîneur;Trainer;coach;nom;m;Trainer;;;;;;;;;;;;
Trana;larme;Träne;tear;nom;f;Trana;;;;;;;;;;;;
Transchport;transport;Transport;transport;nom;m;Transchporta;;;;;;;;;;;;
Triiwel;raisin;Traube;grape;nom;m;Triiwel;Triiwala;;;;;;;;;;;
Trog;auge;Trog;trough;nom;m;Treeg;;;;;;;;;;;;
Tropfa;goutte;Tropfen;drop;nom;m;Träpfa;;;;;;;;;;;;
Trummla;tambour;Trommel;drum;nom;f;Trummla;;;;;;;;;;;;
Trumpeta;trompette;Trompete;trumpet;nom;f;Trumpeta;;;;;;;;;;;;
Trumpf;atout;Trumpf;trump;nom;m;Trìmpf;;;;;;;;;;;;
Truppa;troupe;Truppe;troop;nom;f;Truppa;;;;;;;;;;;;
Tràuim;rêve;Traum;dream;nom;m;Traim;;;;;;;;;;;;
Trìnkwàsser;eau potable;Trinkwasser;drinking water;nom;n;Trìnkwasser;;;;;;;;;;;;
Trìtt;coup de pied;Tritt;kick;nom;m;Trìtt;;;;;;;;;;;;
Tschoba;imbécile;Idiot;fool;nom;m;Tscheeba;;;;;;;;;;;;
Tulwa;tulipe;Tulpe;tulip;nom;f;Tulwa;;;;;;;;;;;;
Tunge;vinaigrette;Vinaigrette;vinaigrette;nom;f;Tunge;;;;;;;;;;;;
Tàfla;tableau;Tafel;table;nom;f;Tàfla;Tafala;;;;;;;;;;;
Tàg;jour;Tag;day;nom;m;Taga;;;;;;;;;;;;
Tàl;vallée;Tal;valley;nom;n;Taler;;;;;;;;;;;;
Tànna;sapin;Tanne;fir;nom;f;Tànna;Tannala;;;;;;;;;;;
Tànnabàuim;arbre de Noël;Weihnachtsbaum;Christmas tree;nom;m;Tànnabaim;;;;;;;;;;;;
Tànta;tante;Tante;aunt;nom;f;Tànta;;;;;;;;;;;;
Tànz;danse;Tanz;dance;nom;m;Tanz;;;;;;;;;;;;
Tàpeeta;papier peint;Tapete;wallpaper;nom;f;Tàpeeta;;;;;;;;;;;;
Tàschalàmpa;lampe de poche;Taschenlampe;torch;nom;f;Tàschalàmpa;;;;;;;;;;;;
Tàssa;tasse;Tasse;cup;nom;f;Tassala;;;;;;;;;;;;
Tàtsàch;fait;Tatsache;fact;nom;f;Tàtsàcha;;;;;;;;;;;;
Tèifel;diable;Teufel;devil;nom;m;Tèifla;Tèifala;;;;;;;;;;;
Tìnta;encre;Tinte;ink;nom;f;Tìnta;;;;;;;;;;;;
Tìra;porte;Tür;door;nom;f;Tìra;Tìrla;;;;;;;;;;;
Tìsch;table;Tisch;table;nom;m;Tìsch;Tìschla;;;;;;;;;;;
Tüech;toile;Tuch;cloth;nom;n;Tiacher;Tiachla;;;;;;;;;;;
Tüüwa;pigeon;Taube;pigeon;nom;f;Tüüwa;Tiiwla;;;;;;;;;;;
Ufer;rivage;Ufer;shore;nom;n;Ufer;;;;;;;;;;;;
Ufmerksàmkeit;attention;Aufmerksamkeit;attention;nom;f;Ufmerksàmkeita;;;;;;;;;;;;
Ufmàcher;ouvre-boîte;Dosenöffner;can opener;nom;m;Ufmàcher;;;;;;;;;;;;
Umfàng;périmètre;Umfang;perimeter;nom;m;Umfànga;;;;;;;;;;;;
Umgawung;environnement;Umgebung;environment;nom;f;Umgawunga;;;;;;;;;;;;
Umhàng;rideau;Vorhang;curtain;nom;m;Umhànga;Umhangla;;;;;;;;;;;
Umwag;détour;Umweg;detour;nom;m;Umwaga;;;;;;;;;;;;
Umwaltschutz;protection de l'environnement;Umweltschutz;environmental protection;nom;m;;;;;;;;;;;;;
Unfàll;accident;Unfall;accident;nom;m;Unfall;;;;;;;;;;;;
Union;union;Union;union;nom;f;Uniona;;;;;;;;;;;;
Universität;université;Universität;university;nom;f;Universitäta;;;;;;;;;;;;
Unkel;oncle;Onkel;uncle;nom;m;Unkel;Unkala;;;;;;;;;;;
Unterhosa;culotte;Unterhose;underpants;nom;f;Unterhose;;;;;;;;;;;;
Unterhàltung;entretien;Unterhaltung;entertainment;nom;f;Unterhàltung;;;;;;;;;;;;
Unterschìed;différence;Unterschied;difference;nom;m;Unterschieda;;;;;;;;;;;;
Unterwäsch;sous-vêtements;Unterwäsche;underwear;nom;f;Unterwäsch;;;;;;;;;;;;
Unàbhangigkeit;indépendance;Unabhängigkeit;independence;nom;f;Unàbhangigkeita;;;;;;;;;;;;
Ursi;orgelet;Gerstenkorn;stye;nom;n;Ursi;;;;;;;;;;;;
Ursprung;origine;Ursprung;origin;nom;m;Urprunga;;;;;;;;;;;;
Ursàcha;cause;Ursache;cause;nom;f;Ursàcha;;;;;;;;;;;;
Urteil;jugement;Urteil;judgement;nom;n;Urteila;;;;;;;;;;;;
Velo;vélo;Fahrrad;bike;nom;n;Velo;;;;;;;;;;;;
Verb;verbe;Verb;verb;nom;n;Verb;;;;;;;;;;;;
Verbìndung;connexion;Verbindung;connection;nom;f;Verbìndunga;;;;;;;;;;;;
Verein;association;Verein;association;nom;n;Vereiner;;;;;;;;;;;;
Verfàssung;constitution;Verfassung;constitution;nom;f;Verfàssunga;;;;;;;;;;;;
Vergàngaheit;passé;Vergangenheit;past;nom;f;Vergàngaheita;;;;;;;;;;;;
Verkehr;circulation;Verkehr;traffic;nom;m;Verkehr;;;;;;;;;;;;
Verkàuifer;vendeur;Verkäufer;vendor;nom;m;Verkàuifer;;;;;;;;;;;;
Verlàg;édition;Verlag;publisher;nom;m;Verlàga;;;;;;;;;;;;
Verputz;crépi;Verputz;roughcast;nom;m;Verputz;;;;;;;;;;;;
Version;version;Version;version;nom;f;Version;;;;;;;;;;;;
Versàmmlung;assemblée;Versammlung;meeting;nom;f;Versàmmlunga;;;;;;;;;;;;
Verteidigung;défense;Verteidigung;defence;nom;f;Verteidigunga;;;;;;;;;;;;
Vertràg;contrat;Vertrag;contract;nom;m;Vertrag;;;;;;;;;;;;
Verwàltung;administration;Verwaltung;administration;nom;f;Verwàltunga;;;;;;;;;;;;
Veräffentligung;publication;Veröffentlichung;publication;nom;f;Veräffentligunga;;;;;;;;;;;;
Viareck;rectangle;Rechteck;rectangle;nom;n;Viareck;;;;;;;;;;;;
Viartel;quart;Viertel;quarter;nom;m;Viartel;;;;;;;;;;;;
Vitamin;vitamine;Vitamin;vitamin;nom;n;Vitamina;;;;;;;;;;;;
Vogel;oiseau;Vogel;bird;nom;m;Veegel;Veegala;;;;;;;;;;;
Vogelschiich;épouvantail;Vogelscheuche;scarecrow;nom;m;Vogelschiicha;;;;;;;;;;;;
Volk;peuple;Volk;people;nom;n;Välker;;;;;;;;;;;;
Vortràg;conférence;Vortrag;speech;nom;m;Vortrag;;;;;;;;;;;;
Vàter;père;Vater;father;nom;m;Vater;;;;;;;;;;;;
Välkermord;génocide;Völkermord;genocide;nom;m;Välkermärda;;;;;;;;;;;;
Vèiala;violette;Veilchen;violet;nom;n;Vèiala;;;;;;;;;;;;
Vìeh;bétail;Vieh;beast;nom;n;;;;;;;;;;;;;
Waartig;jour ouvrable;Werktag;workday;nom;m;Waartig;;;;;;;;;;;;
Wag;chemin;Weg;way;nom;m;Wag;Wagla;;;;;;;;;;;
Wahia;tarte;Wähe;tart;nom;f;Wahia;Wahila;;;;;;;;;;;
Waliss;valise;Koffer;suitcase;nom;n;Waliss;Walissla;;;;;;;;;;;
Walla;vague;Welle;wave;nom;f;Walla;;;;;;;;;;;;
Walschhüehn;dindon;Truthahn;turkey;nom;f;Walschhiahner;;;;;;;;;;;;
Walschkorn;maïs;Mais;maize;nom;n;Walschkärner;;;;;;;;;;;;
Walt;monde;Welt;world;nom;f;Walt;;;;;;;;;;;;
Warkzig;outil;Werkzeug;tool;nom;n;Warkzig;;;;;;;;;;;;
Wart;valeur;Wert;worth;nom;m;;;;;;;;;;;;;
Waschlappla;gant de toilette;Waschlappen;washcloth;nom;n;Waschlappla;;;;;;;;;;;;
Waschmàschìna;machine à laver;Waschmaschine;washing machine;nom;f;Waschmàschìna;Waschmàschìnla;;;;;;;;;;;
Waschpa;guêpe;Wespe;wasp;nom;f;Waschpa;;;;;;;;;;;;
Watter;météo;Wetter;weather;nom;n;;;;;;;;;;;;;
Wawer;tisserand;Weber;weaver;nom;m;Wawer;;;;;;;;;;;;
Weblink;lien internet;Weblink;link;nom;m;Weblìnk;;;;;;;;;;;;
Websitt;site web;Website;web site;nom;m;Websitta;;;;;;;;;;;;
Weh;douleur;Weh;pain;nom;n;Weh;;;;;;;;;;;;
Weiza;blé;Weizen;wheat;nom;m;Weiza;;;;;;;;;;;;
Weschta;ouest;Westen;west;nom;m;;;;;;;;;;;;;
Wiahnachta;Noël;Weihnachten;Christmas;nom;f;Wiahnachta;;;;;;;;;;;;
Wiahnàchtsbàuim;sapin de Noël;Weihnachtsbaum;Christmas Tree;nom;m;Wiahnàchtsbaim;Wiahnàchtsbaimala;;;;;;;;;;;
Wiahnàchtsmànn;Père Noël;Weihnachtsmann;Santa Claus;nom;m;Wiahnàchtsmanner;;;;;;;;;;;;
Wiahnàschtsowa;réveillon de Noël;Weihnachtsabend;Christmas Eve;nom;m;Wiahnàtsowa;;;;;;;;;;;;
Wii;vin;Wein;wine;nom;m;Wii;;;;;;;;;;;;
Wiida;saule;Weide;willow;nom;f;Wiida;Wiidla;;;;;;;;;;;
Wohnung;logement;Wohnung;flat;nom;f;Wohnunga;Wohnìngla;;;;;;;;;;;
Wohret;vérité;Wahrheit;truth;nom;f;Wohreta;;;;;;;;;;;;
Wolf;loup;Wolf;wolf;nom;m;Wälfa;Wälfla;;;;;;;;;;;
Wort;mot;Wort;word;nom;n;Wärter;;;;;;;;;;;;
Wucha;semaine;Woche;week;nom;f;Wucha;;;;;;;;;;;;
Wuchaand;week-end;Wochenende;weekend;nom;n;Wuchaand;;;;;;;;;;;;
Wulka;nuage;Wolke;cloud;nom;f;Wulka;Wìlkala;;;;;;;;;;;
Wulla;laine;Wolle;wool;nom;f;Wulla;;;;;;;;;;;;
Wunda;blessure;Wunde;wound;nom;f;Wunda;;;;;;;;;;;;
Wunder;miracle;Wunder;wonder;nom;n;Wunder;;;;;;;;;;;;
Wunderfìtz;curieux;Neugierige;curious;nom;m;Wunderfìtz;;;;;;;;;;;;
Wurm;ver;Wurm;worm;nom;m;Wìrm;Wìrmla;;;;;;;;;;;
Wurzla;racine;Wurzel;root;nom;f;Wurzla;;;;;;;;;;;;
Wàchs;cire;Wachs;wax;nom;n;;;;;;;;;;;;;
Wàda;mollet;Wade;calf;nom;f;Wada;;;;;;;;;;;;
Wàdel;queue;Schwanz;tail;nom;m;Wadel;Wadala;;;;;;;;;;;
Wàffa;arme;Waffe;weapon;nom;f;Wàffa;;;;;;;;;;;;
Wàga;voiture;Wagen;car;nom;m;Waga;Wagala;;;;;;;;;;;
Wàhl;élection;Wahl;election;nom;m;Wàhla;;;;;;;;;;;;
Wàhl;choix;Wahl;choice;nom;m;Wàhla;;;;;;;;;;;;
Wàld;forêt;Wald;forest;nom;m;Walder;Waldala;;;;;;;;;;;
Wàlfìsch;baleine;Wal;whale;nom;m;Wàlfìsch;;;;;;;;;;;;
Wànd;mur;Wand;wall;nom;f;Wand;;;;;;;;;;;;
Wàr;marchandise;Ware;goods;nom;f;Wàr;;;;;;;;;;;;
Wàsser;eau;Wasser;water;nom;n;Wàsser;Wasserla;;;;;;;;;;;
Wàsserhüehn;poule d'eau;Teichhuhn;waterhen;nom;f;Wàsserhiahner;;;;;;;;;;;;
Wàsserloch;point d'eau;Wasserloch;water hole;nom;n;Wàsserlächer;;;;;;;;;;;;
Wàssermelona;pastèque ;Wassermelone;watermelon;nom;f;Wàssermelona;;;;;;;;;;;;
Wàsserstei;évier;Spülbecken;sink;nom;m;Wàsserstei;;;;;;;;;;;;
Wàsserstoff;hydrogène;Wasserstoff;hydrogen;nom;m;;;;;;;;;;;;;
Wàtta;ouate;Watte;cotton;nom;f;Wàtta;;;;;;;;;;;;
Wärma;chaleur;Wärme;heat;nom;f;Wärma;;;;;;;;;;;;
Wärterbüech;dictionnaire;Wörterbuch;dictionary;nom;n;Wärterbiacher;Wärterbiachla;;;;;;;;;;;
Wäsch;linge;Wäsche;laundry;nom;f;Wäsch;;;;;;;;;;;;
Wèiher;étang;Weiher;pond;nom;m;Wèiher;;;;;;;;;;;;
Wìderstànd;résistance;Widerstand;resistance;nom;m;Wìderstand;;;;;;;;;;;;
Wìld;gibier;Wild;game animal;nom;n;;;;;;;;;;;;;
Wìldsaui;sanglier;Wildschwein;wild boar;nom;f;Wìldsäi;Wìldsäila;;;;;;;;;;;
Wìlla;volonté;Wille;will;nom;m;Wìlla;;;;;;;;;;;;
Wìmpra;cil;Wimper;eyelash;nom;f;Wìmpra;;;;;;;;;;;;
Wìnd;vent;Wind;wind;nom;m;Wìnd;;;;;;;;;;;;
Wìnkel;angle;Winkel;angle;nom;m;Wìnkel;;;;;;;;;;;;
Wìnker;clignotant;Blinker;blinker;nom;m;Wìnker;;;;;;;;;;;;
Wìnter;hiver;Winter;winter;nom;m;Wìnter;;;;;;;;;;;;
Wìrfel;cube;Würfel;cube;nom;m;Wìrfel;Wìrfla;;;;;;;;;;;
Wìrkung;conséquence;Wirkung;effect;nom;f;Wìrkunga;;;;;;;;;;;;
Wìrtschàft;restaurant;Gastwirtschaft;restaurant;nom;f;Wìrtschàfta;;;;;;;;;;;;
Wìrtschàft;économie;Wirtschaft;economy;nom;f;Wìrtschàfta;;;;;;;;;;;;
Wìssa;savoir;Wissen;knowledge;nom;f;;;;;;;;;;;;;
Wìssaschàft;science;Wissenschaft;science;nom;f;Wìssaschàfta;;;;;;;;;;;;
Wìssaschàftler;scientifique;Wissenschaftler;scientist;nom;m;Wìssaschàftler;;;;;;;;;;;;
Wìtz;blague;Witz;joke;nom;m;Wìtz;;;;;;;;;;;;
Wììschta;désert;Wüste;desert;nom;f;Wììschta;;;;;;;;;;;;
Wüet;colère;Wut;anger;nom;f;;;;;;;;;;;;;
Xylophon;xylophone;Xylophon;xylophone;nom;n;Xylophon;;;;;;;;;;;;
Yacht;yacht;Yacht;yacht;nom;m;Yacht;;;;;;;;;;;;
Yaourt;yaourt;Joghurt;yoghurt;nom;m;Yaourt;;;;;;;;;;;;
Zack;tique;Zecke;tick;nom;m;Zacka;;;;;;;;;;;;
Zeecha;orteil;Zehe;toe;nom;m;Zeecha;;;;;;;;;;;;
Zeiger;aiguille;Zeiger;hour hand;nom;m;Zeiger;Zeigerla;;;;;;;;;;;
Zelleri;céleri;Sellerie;celery;nom;m;Zelleri;;;;;;;;;;;;
Zelt;tente;Zelt;tent;nom;n;Zelter;Zeltla;;;;;;;;;;;
Zentrum;centre;Zentrum;center;nom;m;Zentrum;;;;;;;;;;;;
Ziagel;tuile;Ziegel;tile;nom;m;Ziagel;;;;;;;;;;;;
Ziel;cible;Ziel;target;nom;n;Ziela;;;;;;;;;;;;
Zigarettla;cigarette;Zigarette;cigarette;nom;n;Zigarettla;;;;;;;;;;;;
Zingadeckel;cymbale;Becken;cymbal;nom;m;Zingadeckel;;;;;;;;;;;;
Zischtig;mardi;Dienstag;Tuesday;nom;m;Zischtig;;;;;;;;;;;;
Zitrona;citron;Zitrone;lemon;nom;f;Zitrona;;;;;;;;;;;;
Zitt;temps;Zeit;time;nom;f;Zitta;;;;;;;;;;;;
Zittung;journal;Zeitung;newspaper;nom;f;Zittunga;;;;;;;;;;;;
Zoll;douane;Zoll;customs;nom;m;Zolla;;;;;;;;;;;;
Zoologisch;zoo;Zoo;zoo;nom;m;Zoologischa;;;;;;;;;;;;
Zopf;tresse;Zopf;plait;nom;m;Zäpf;Zäpfla;;;;;;;;;;;
Zucker;sucre;Zucker;sugar;nom;m;Zucker;;;;;;;;;;;;
Zug;train;Zug;train;nom;m;Zìg;Zììgla;;;;;;;;;;;
Zunga;langue;Zunge;tongue;nom;f;Zunga;Zìngala;;;;;;;;;;;
Zwack;but;Zweck;purpose;nom;m;Zwäck;;;;;;;;;;;;
Zwala;serviette;Handtuch;towel;nom;f;Zwala;;;;;;;;;;;;
Zwarg;nain;Zwerg;dwarf;nom;m;Zwarg;Zwargala;;;;;;;;;;;
Zwatschga;quetsche;Zwetschge;damson;nom;f;Zwatschga;;;;;;;;;;;;
Zwìschafàll;incident;Zwischenfall;incident;nom;m;Zwìschafall;;;;;;;;;;;;
Zàhl;nombre;Zahl;number;nom;f;Zàhla;;;;;;;;;;;;
Zàhn;dent;Zahn;tooth;nom;m;Zehn;Zehnla;;;;;;;;;;;
Zàhnbìrschtla;brosse à dents;Zahnbürste;toothbrush;nom;n;Zànhnbìrschtla;;;;;;;;;;;;
Zàhnweh;mal de dent;Zahnweh;toothache;nom;n;Zàhnweh;;;;;;;;;;;;
Zànga;pince;Zange;pliers;nom;f;Zànga;Zangla;;;;;;;;;;;
Zàpfa;bouchon;Korken;stopper;nom;m;Zapfa;Zapfla;;;;;;;;;;;
Zàpfaziager;tire-bouchon;Korkenzieher;corkscrew;nom;m;Zàpfaziager;;;;;;;;;;;;
Zìmmer;chambre;Zimmer;room;nom;n;Zìmmer;Zìmmerla;;;;;;;;;;;
Zìmmermànn;charpentier;Zimmermann;carpenter;nom;m;Zìmmermanner;;;;;;;;;;;;
Zìmt;cannelle;Zimt;cinnamon;nom;f;Zìmt;;;;;;;;;;;;
Zìnk;zinc;Zink;zinc;nom;n;;;;;;;;;;;;;
Zìther;cithare;Zither;zither;nom;m;Zìther;;;;;;;;;;;;
Zìwala;oignon;Zwiebel;onion;nom;n;Zìwala;;;;;;;;;;;;
Züekunft;avenir;Zukunft;future;nom;f;Züekìnft;;;;;;;;;;;;
Züeschàuier;spectateur;Zuschauer;spectator;nom;m;Züeschàuier;;;;;;;;;;;;
Züestànd;état;Zustand;state;nom;m;Züestand;;;;;;;;;;;;
Züün;clôture;Zaun;fence;nom;m;Ziin;;;;;;;;;;;;
Àbfàll;déchet;Abfall;waste;nom;m;Àbfall;;;;;;;;;;;;
Àbleitung;dérivation;Ableitung;derivation;nom;f;Àbleitunga;;;;;;;;;;;;
Àbtèi;abbaye;Abtei;abbey;nom;f;Àbtèi;;;;;;;;;;;;
Àchsla;épaule;Schulter;shoulder;nom;f;Àchsla;;;;;;;;;;;;
Àcker;champ;Acker;field;nom;m;Acker;;;;;;;;;;;;
Àdler;aigle;Adler;eagle;nom;m;Adler;;;;;;;;;;;;
Àdrassa;adresse;Adresse;address;nom;f;Àdrassa;;;;;;;;;;;;
Àff;singe;Affe;ape;nom;m;Àffa;Affala;;;;;;;;;;;
Àfter;anus;After;anus;nom;m;Àfter;;;;;;;;;;;;
Àlkohol;alcool;Alkohol;alcohol;nom;m;Àlkohola;;;;;;;;;;;;
Àllerheiliga;Toussaint;Allerheiligen;All Saints' Day;nom;n;Àllerheiliga;;;;;;;;;;;;
Àlltag;quotidien;Alltag;everyday life;nom;m;;;;;;;;;;;;;
Àlphàbet;alphabet;Alphabet;alphabet;nom;n;Àlphàbeta;;;;;;;;;;;;
Àlter;âge;Alter;age;nom;n;Àlter;;;;;;;;;;;;
Àmsla;merle;Amsel;blackbird;nom;f;Àmsla;;;;;;;;;;;;
Àndivi;endive;Chicorée;chicory;nom;m;Àndivi;;;;;;;;;;;;
Àngscht;peur;Angst;fear;nom;f;Ängschta;;;;;;;;;;;;
Àntwort;réponse;Antwort;answer;nom;f;Àntworta;;;;;;;;;;;;
Àpothek;pharmacie;Apotheke;pharmacy;nom;f;Àpotheka;;;;;;;;;;;;
Àpotheker;pharmacien;Apotheker;pharmacist;nom;m;Àpotheker;;;;;;;;;;;;
Àppàràt;appareil;Apparat;device;nom;m;Àppàrat;;;;;;;;;;;;
Àrm;bras;Arm;arm;nom;m;Arm;Armala;;;;;;;;;;;
Àrmüet;pauvreté;Armut;poverty;nom;f;Àrmüeta;;;;;;;;;;;;
Àrsch;cul;Arsch;arse;nom;m;Arscha;;;;;;;;;;;;
Àrtìkel;article;Artikel;article;nom;m;Àrtìkel;;;;;;;;;;;;
Àrweiter;travailleur;Arbeiter;worker;nom;m;Àrweiter;;;;;;;;;;;;
Àrwet;travail;Arbeit;work;nom;f;Àrweta;Arwetla;;;;;;;;;;;
Àtmosphär;atmosphère;Atmosphäre;atmosphere;nom;f;Àtmosphära;;;;;;;;;;;;
Àuig;oeil;Auge;eye;nom;n;Àuiga;Aigala;;;;;;;;;;;
Àuigsbràuia;sourcil;Augenbraue;eyebrow;nom;f;Àuigsbràuia;;;;;;;;;;;;
Àuigscht;août;August;August;nom;m;;;;;;;;;;;;;
Àuitor;auteur;Autor;author;nom;m;Àuitora;;;;;;;;;;;;
Àwrìl;avril;April;April;nom;m;;;;;;;;;;;;;
Àx;hache;Axt;axe;nom;f;Àxa;;;;;;;;;;;;
Ààfàng;début;Anfang;beginning;nom;m;Ààfànga;;;;;;;;;;;;
Ààgebot;offre;Angebot;offer;nom;n;Ààgebota;;;;;;;;;;;;
Ààgrìff;attaque;Angriff;attack;nom;m;Ààgrìffa;;;;;;;;;;;;
Ààlàuif;élan;Anlauf;run up;nom;m;Ààlàuifa;;;;;;;;;;;;
Ààspruch;revendication;Anspruch;demand;nom;m;Ààsprìch;;;;;;;;;;;;
Äffnung;ouverture;Öffnung;opening;nom;f;Äffnunga;;;;;;;;;;;;
Äpfel;pomme;Apfel;apple;nom;m;Äpfel;;;;;;;;;;;;
Äpfelbàuim;pommier;Apfelbaum;apple tree;nom;m;Äpfelbaim;;;;;;;;;;;;
Ìgel;hérisson;Igel;hedgehog;nom;m;Ìgel;;;;;;;;;;;;
Ìmmala;abeille;Biene;bee;nom;n;Ìmmala;;;;;;;;;;;;
Ìnduschtrie;industrie;Industrie;industry;nom;f;Ìnduschtrie;;;;;;;;;;;;
Ìnflàtion;inflation;Inflation;inflation;nom;f;Ìnflàtiona;;;;;;;;;;;;
Ìngenieur;ingénieur;Ingenieur;engineer;nom;m;Ìngenieura;;;;;;;;;;;;
Ìnnera;intérieur;Inland;interior;nom;n;Ìnnera;;;;;;;;;;;;
Ìnschtrumant;instrument;Mittel;instrument;nom;n;Ìnschtrumanta;;;;;;;;;;;;
Ìnsel;île;Insel;island;nom;f;Ìnsel;Ìnsala;;;;;;;;;;;
Ìntrassa;intérêt;Interesse;interest;nom;m;Ìntrassa;;;;;;;;;;;;
Ìwerràschung;surprise;Überraschung;surprise;nom;f;Ìwerràschunga;;;;;;;;;;;;
Ìwerschwemmung;inondation;Überschwemmung;flood;nom;f;Ìwerschwemmunga;;;;;;;;;;;;
Ìwersetzung;traduction;Übersetzung;translation;nom;f;Ìwersetzunga;;;;;;;;;;;;
Ühr;horloge;Uhr;clock;nom;f;Ühra;Ihrla;;;;;;;;;;;
Ühr;montre;Uhr;watch;nom;f;Ühra;Ihrla;;;;;;;;;;;
Üsdruck;expression;Ausdruck;expression;nom;m;Üsdrìck;;;;;;;;;;;;
Üslànd;pays étranger;Ausland;foreign country;nom;n;;;;;;;;;;;;;
Üssìcht;vue;Aussicht;view;nom;f;Üssìchta;;;;;;;;;;;;
Üswànderer;émigrant;Auswanderer;emigrant;nom;m;Üswànderer;;;;;;;;;;;;
Anglànd;Angleterre;England;England;nom_propre;;;;;;;;;;;;;;
Auschtràlia;Australie;Australien;Australia;nom_propre;;;;;;;;;;;;;;
Belgia;Belgique;Belgien;Belgium;nom_propre;;;;;;;;;;;;;;
Ditschlànd;Allemagne;Deutschland;Germany;nom_propre;;;;;;;;;;;;;;
Dänemàrk;Danemark;Dänemark;Denmark;nom_propre;;;;;;;;;;;;;;
Eeschtrich;Autriche;Österreich;Austria;nom_propre;;;;;;;;;;;;;;
Elsàss;Alsace;Elsass;Alsace;nom_propre;;;;;;;;;;;;;;
Frànkrìch;France;Frankreich;France;nom_propre;;;;;;;;;;;;;;
Fìnlànd;Finlande;Finnland;Finland;nom_propre;;;;;;;;;;;;;;
Hollànd;Hollande;Holland;Holland;nom_propre;;;;;;;;;;;;;;
Hàrtmànswiller;Hartmanswiller;Hartmanswiller;Hartmanswiller;nom_propre;;;;;;;;;;;;;;
Irak;Irak;Irak;Iraq;nom_propre;;;;;;;;;;;;;;
Iràn;Iran;Iran;Iran;nom_propre;;;;;;;;;;;;;;
Israel;Israël;Israel;Israel;nom_propre;;;;;;;;;;;;;;
Itàlia;Italie;Italien;Italy;nom_propre;;;;;;;;;;;;;;
Jàpàn;Japon;Japan;Japan;nom_propre;;;;;;;;;;;;;;
